2016-02-23||1|23:12:53
2016-02-23||12|23:12:54
2016-02-23||3|23:12:55
2016-02-23||44|23:12:56
2016-02-23||4444|23:12:58
2016-02-23||2|23:13:49
2016-02-23|DINNR|1|23:19:18
2016-02-23|DINNR|2|23:19:19
2016-02-23|DINNR|3|23:19:20
2016-02-23|DINNR|45|23:19:24
2016-02-23|DINNR|3456|23:19:25
2016-02-23|DINNR|456|23:19:28
2016-02-23|DINNR|22|23:22:18
2016-02-23|DINNR|33|23:22:20
2016-02-23|DINNR|34|23:22:21
2016-02-23|DINNR|2345r|23:22:23
2016-02-23|DINNR|074319740131|23:23:01
2016-02-23|DINNR|X000TZJW6F|23:23:07
2016-02-23|DINNR|6604034645|23:23:12
2016-02-23|DINNR|6604034646|23:23:13
2016-02-23|DINNR|4|23:27:22
2016-02-23|DINNR|5|23:27:22
2016-02-23|DINNR|6|23:27:23
2016-04-26|DINNR|1|17:12:40
2016-04-26|DINNR|2|17:13:14
2016-04-26|DINNR|3|17:13:15
2016-04-26|DINNR|4|17:13:16
2016-04-26|DINNR|6|17:13:18
